,en,ko,type
1108,eventually,결국,adv
1140,directly,곧장,adv
1143,immediately,즉시,adv
1150,absolutely,물론,adv
1163,therefore,그러므로,adv
1169,please,제발,adv
1171,completely,완전히,adv
1188,by,~에 의해,adv
1194,AM,오전,adv
1198,along,~을 따라,adv
1204,generally,일반적으로,adv
1213,easily,용이하게,adv
1214,through,~을 통해,adv
1224,slowly,느리게,adv
1226,bit,조금,adv
1283,obviously,확실히,adv
1301,inside,내부에,adv
1326,highly,고도로,adv
1329,mostly,주로,adv
1339,tomorrow,내일,adv
1398,anyway,그래도,adv
1412,apparently,보기에,adv
1413,slightly,약간,adv
1415,twice,두 배,adv
1421,kind,친절한,adv
1455,below,아래에,adv
1468,relatively,비교적,adv
1502,fully,충분히,adv
1512,yesterday,어제,adv
1534,otherwise,그렇지 않으면,adv
1592,increasingly,더욱 더,adv
1595,somewhere,어딘가에,adv
1597,above,~ 위에,adv
1610,carefully,주의하여,adv
1641,straight,똑바로,adv
1649,okay,좋아요,adv
1656,somehow,어떻게든,adv
1671,under,아래에,adv
1687,largely,크게,adv
1700,basically,원래,adv
1703,anymore,더 이상,adv
1706,possibly,혹시,adv
1710,currently,현재,adv
1717,deep,깊은,adv
1727,truly,진심으로,adv
1748,outside,밖의,adv
1752,hardly,거의 ~ 아니다,adv
1768,extremely,극도로,adv
1785,ultimately,궁극적으로,adv
1802,neither,어느 것도 아니다,adv
1812,late,늦은,adv
1816,significantly,중요하게,adv
1822,frequently,자주,adv
1828,part,부분,adv
1845,forth,앞으로,adv
1859,meanwhile,그 동안에,adv
1869,entirely,전적으로,adv
1890,aside,곁에,adv
1891,anywhere,어딘가에,adv
1908,somewhat,약간,adv
1920,seriously,진지하게,adv
1923,totally,완전히,adv
1951,everywhere,어디에나,adv
1969,necessarily,반드시,adv
1970,specifically,구체적으로,adv
1982,apart,따로,adv
1985,barely,간신히,adv
1999,merely,그저,adv
2003,definitely,분명히,adv
2027,typically,일반적으로,adv
2030,unfortunately,안타깝게도,adv
2053,closely,면밀히,adv
2061,virtually,사실상,adv
2062,first,첫 번째,adv
2067,behind,뒤에,adv
2097,forever,영원히,adv
2139,deeply,깊이,adv
2151,primarily,주로,adv
2174,fairly,꽤,adv
2192,widely,넓게,adv
2289,rarely,드물게,adv
2297,elsewhere,다른 곳,adv
2300,moreover,게다가,adv
2304,essentially,본질적으로,adv
2320,sure,확실한,adv
2331,previously,이전에,adv
2332,whenever,언제든지,adv
2382,heavily,무겁게,adv
2384,approximately,약,adv
2388,equally,같이,adv
2402,strongly,강하게,adv
2432,surely,확실히,adv
2455,perfectly,아주,adv
2490,literally,문자 그대로,adv
2505,occasionally,가끔,adv
2519,constantly,지속적으로,adv
2548,rapidly,급속히,adv
2567,particular,특정한,adv
2572,quietly,조용히,adv
2581,general,일반,adv
2585,effectively,효과적으로,adv
2600,precisely,정확하게,adv
2603,nevertheless,그럼에도 불구하고,adv
2609,normally,보통,adv
2654,personally,몸소,adv
2678,roughly,대충,adv
2700,like,처럼,adv
2703,ie,즉,adv
2736,initially,처음에,adv
2755,though,그렇지만,adv
2774,gently,부드럽게,adv
2787,likely,~할 것 같은,adv
2811,similarly,비슷하게,adv
2812,newly,새로운,adv
2818,naturally,당연히,adv
2827,mainly,주로,adv
2840,regularly,정기적으로,adv
2845,partly,부분적으로,adv
2852,potentially,잠재적으로,adv
2863,politically,정치상,adv
2874,shortly,곧,adv
2875,originally,원래,adv
2900,properly,제대로,adv
2920,regardless,~에 관계없이,adv
2921,easy,쉬운,adv
2944,nowhere,아무데도 없습니다,adv
2984,gradually,서서히,adv
2996,since,~부터,adv
3026,briefly,간단히,adv
3035,besides,뿐만 아니라,adv
3051,publicly,공개적으로,adv
3102,etc,등,adv
3135,badly,심하게,adv
3152,across,가로질러,adv
3156,differently,다르게,adv
3203,successfully,성공적으로,adv
3240,furthermore,뿐만 아니라,adv
3269,physically,육체적으로,adv
3273,repeatedly,자꾸,adv
3323,nonetheless,그럼에도 불구하고,adv
3329,high,높은,adv
3390,abroad,해외에서,adv
3392,dramatically,극적으로,adv
3396,surprisingly,놀랍게도,adv
3422,lightly,가볍게,adv
3429,tight,단단한,adv
3466,greatly,매우,adv
3520,online,온라인,adv
3526,daily,일일,adv
3574,seemingly,겉보기에,adv
3590,frankly,솔직히,adv
3629,consistently,일관되게,adv
3634,last,마지막,adv
3655,past,과거,adv
3670,hence,그 후,adv
3694,simultaneously,동시에,adv
3739,traditionally,전통적으로,adv
3744,wherever,대체 어디에,adv
3755,nearby,가까운,adv
3760,respectively,각기,adv
3763,short,짧은,adv
3790,commonly,천하게,adv
3836,altogether,전부,adv
3852,historically,역사적으로,adv
3853,firmly,단단히,adv
3865,loud,시끄러운,adv
3899,wrong,잘못된,adv
3923,thereby,그것에 의하여,adv
3924,overall,전반적인,adv
3935,practically,거의,adv
3943,sharply,날카롭게,adv
3981,automatically,자동으로,adv
4049,hopefully,바라건대,adv
4050,readily,손쉽게,adv
4065,annually,매년,adv
4066,lately,최근에,adv
4076,softly,부드럽게,adv
4086,sexually,성적으로,adv
4088,way,방법,adv
4101,o'clock,오후,adv
4111,officially,공무상,adv
4150,tightly,단단히,adv
4174,thoroughly,철저히,adv
4208,instantly,곧,adv
4233,afterward,기후,adv
4307,safely,안전하게,adv
4312,incredibly,놀랍도록,adv
4315,near,가까운,adv
4331,presumably,아마도,adv
4354,actively,적극적으로,adv
4358,fortunately,다행스럽게도,adv
4404,consequently,따라서,adv
4408,correctly,바르게,adv
4409,mentally,정신적으로,adv
4424,partially,부분적으로,adv
4426,upstairs,높은 곳에 있는,adv
4438,alike,서로 같은,adv
4443,reportedly,보고되었다,adv
4495,desperately,필사적으로,adv
4499,someday,언젠가,adv
4503,worldwide,세계적인,adv
4536,exclusively,독점적으로,adv
4539,openly,공공연히,adv
4576,likewise,비슷하게,adv
4593,strictly,엄격하게,adv
4599,supposedly,아마도,adv
4613,legally,합법적으로,adv
4626,socially,사회적으로,adv
4638,halfway,반쯤,adv
4643,deliberately,고의로,adv
4663,this,이것,adv
4694,considerably,상당히,adv
4699,inevitably,필연적으로,adv
4702,emotionally,감정적으로,adv
4704,allegedly,주장한 바에 의하면,adv
4718,any,어느,adv
4721,solely,혼자서,adv
4730,formerly,전에,adv
4745,downtown,도심,adv
4759,happily,행복하게,adv
4771,privately,몰래,adv
4777,routinely,일상적으로,adv
4794,overnight,밤새,adv
4844,freely,자유로이,adv
4846,steadily,꾸준히,adv
4859,ironically,아이러니하게,adv
4861,beyond,그 너머에,adv
4864,low,낮은,adv
4872,substantially,대체로,adv
4898,within,이내에,adv
4904,severely,심하게,adv
4914,importantly,중요하게,adv
4926,terribly,몹시,adv
4928,sudden,갑자기,adv
4933,seldom,드물게,adv
4935,economically,경제적,adv
4936,honestly,솔직히,adv
4948,accurately,정확히,adv
4961,public,공공의,adv
4968,sometime,언젠가,adv
4981,nationwide,전국,adv
