,en,ko,type
606,window,창문,noun
610,culture,문화,noun
612,chance,가능성,noun
613,brother,형제,noun
614,energy,에너지,noun
615,period,기간,noun
616,course,강의,noun
617,summer,여름,noun
622,plant,공장,noun
624,opportunity,기회,noun
625,term,기간,noun
627,letter,편지,noun
628,condition,상태,noun
629,choice,선택,noun
632,rule,규칙,noun
633,daughter,딸,noun
634,administration,관리,noun
635,south,남쪽,noun
636,husband,남편,noun
637,Congress,회의,noun
638,floor,바닥,noun
639,campaign,운동,noun
640,material,재료,noun
641,population,인구,noun
643,call,전화,noun
644,economy,경제,noun
646,hospital,병원,noun
647,church,교회,noun
650,risk,위험,noun
652,fire,불,noun
653,future,미래,noun
656,defense,방어,noun
659,security,보안,noun
660,bank,은행,noun
663,west,서쪽,noun
664,sport,스포츠,noun
665,board,판자,noun
668,subject,주제,noun
669,officer,장교,noun
671,rest,쉬다,noun
672,behavior,행동,noun
674,performance,성능,noun
677,top,맨 위,noun
680,goal,목표,noun
681,second,초,noun
682,bed,침대,noun
683,order,주문하다,noun
684,author,작가,noun
691,blood,피,noun
693,agency,대행사,noun
695,nature,자연,noun
696,color,색깔,noun
699,store,가게,noun
701,sound,소리,noun
706,movement,움직임,noun
707,page,페이지,noun
715,race,경주,noun
716,concern,우려,noun
717,series,시리즈,noun
721,language,언어,noun
724,response,응답,noun
727,animal,동물,noun
728,factor,요인,noun
729,decade,10년,noun
730,article,기사,noun
732,east,동쪽,noun
735,artist,아티스트,noun
737,scene,장면,noun
738,stock,스톡,noun
739,career,직업,noun
744,treatment,치료,noun
749,approach,접근하다,noun
751,size,크기,noun
752,dog,개,noun
753,fund,축적,noun
756,media,미디어,noun
758,sign,징후,noun
759,thought,생각,noun
760,list,목록,noun
761,individual,개인,noun
763,quality,품질,noun
764,pressure,압력,noun
766,answer,대답,noun
768,resource,자원,noun
771,meeting,회의,noun
774,disease,질병,noun
776,success,성공,noun
778,cup,컵,noun
780,amount,양,noun
781,ability,능력,noun
782,staff,직원,noun
785,character,캐릭터,noun
786,growth,성장,noun
787,loss,손실,noun
788,degree,도,noun
790,attack,공격,noun
792,region,지역,noun
793,television,텔레비전,noun
794,box,상자,noun
795,TV,TV,noun
796,training,훈련,noun
798,trade,거래,noun
799,deal,거래,noun
800,election,선거,noun
805,feeling,감정,noun
806,standard,기준,noun
807,bill,계산서,noun
808,message,메시지,noun
812,analysis,분석,noun
813,benefit,혜택,noun
815,sex,섹스,noun
817,lawyer,변호사,noun
819,section,부분,noun
821,glass,유리,noun
823,skill,기술,noun
824,sister,자매,noun
826,professor,교수,noun
827,operation,작업,noun
829,crime,범죄,noun
830,stage,단계,noun
833,authority,권한,noun
835,design,설계,noun
836,sort,종류,noun
837,one,하나,noun
840,knowledge,지식,noun
841,gun,총,noun
842,station,역,noun
845,strategy,전략,noun
851,truth,진실,noun
852,song,노래,noun
853,example,예시,noun
856,environment,환경,noun
857,leg,다리,noun
859,public,공공의,noun
864,executive,경영진,noun
865,set,세트,noun
870,rock,바위,noun
876,note,노트,noun
878,manager,관리자,noun
879,help,돕다,noun
883,network,회로망,noun
890,science,과학,noun
892,memory,메모리,noun
893,card,카드,noun
895,seat,좌석,noun
896,cell,셀,noun
899,trial,재판,noun
900,expert,전문가,noun
902,spring,봄,noun
903,firm,단단한,noun
904,Democrat,민주당,noun
905,radio,라디오,noun
907,management,관리,noun
913,ball,공,noun
918,talk,말하다,noun
919,theory,이론,noun
920,impact,타격,noun
922,statement,성명,noun
924,charge,요금,noun
929,direction,방향,noun
930,weapon,무기,noun
931,employee,직원,noun
934,peace,평화,noun
937,base,베이스,noun
938,pain,통증,noun
940,play,플레이,noun
941,measure,측정하다,noun
945,interview,회견,noun
947,chair,의자,noun
948,fish,생선,noun
950,camera,카메라,noun
951,structure,구조,noun
952,politics,정치,noun
954,bit,조금,noun
955,weight,무게,noun
958,candidate,후보자,noun
960,production,생산,noun
962,trip,여행,noun
963,evening,저녁,noun
966,conference,회의,noun
967,unit,단위,noun
969,style,스타일,noun
970,adult,성인,noun
972,range,범위,noun
977,past,과거,noun
978,edge,가장자리,noun
981,writer,작가,noun
982,trouble,문제,noun
985,challenge,도전,noun
986,fear,두려움,noun
987,shoulder,어깨,noun
988,institution,기관,noun
990,sea,바다,noun
991,dream,꿈,noun
992,bar,술집,noun
994,property,재산,noun
997,stuff,물건,noun
998,detail,세부 사항,noun
999,method,방법,noun
1002,magazine,잡지,noun
1003,hotel,호텔,noun
1004,soldier,군인,noun
1008,cause,원인,noun
1009,bag,가방,noun
1010,heat,열,noun
1011,fall,떨어지다,noun
1012,marriage,결혼,noun
1015,surface,표면,noun
1016,purpose,목적,noun
1018,pattern,무늬,noun
1020,skin,피부,noun
1021,agent,에이전트,noun
1022,owner,소유자,noun
1023,machine,기계,noun
1024,gas,가스,noun
1027,generation,세대,noun
1030,cancer,암,noun
1032,item,안건,noun
1033,reality,현실,noun
1034,coach,코치,noun
1036,Mrs,부인,noun
1037,yard,마당,noun
1039,violence,폭행,noun
1042,investment,투자,noun
1043,discussion,논의,noun
1044,finger,손가락,noun
1045,garden,정원,noun
1047,collection,수집,noun
1049,task,직무,noun
1050,partner,파트너,noun
1053,kitchen,주방,noun
1054,consumer,소비자,noun
1055,shot,발사,noun
1056,budget,예산,noun
1058,painting,페인트 등,noun
1059,scientist,과학자,noun
1061,agreement,합의,noun
1062,capital,수도,noun
1063,mouth,입,noun
1065,victim,피해자,noun
1066,newspaper,신문,noun
1068,threat,위협,noun
1069,responsibility,책임,noun
1071,attorney,변호사,noun
1072,score,점수,noun
1073,account,계정,noun
1075,break,부서지다,noun
1076,audience,청중,noun
1078,dinner,저녁,noun
1080,vote,투표,noun
1084,debate,토론,noun
1086,citizen,시민,noun
1087,majority,다수,noun
1094,wind,바람,noun
1097,mission,사명,noun
1100,customer,고객,noun
1102,speech,연설,noun
1104,option,옵션,noun
1105,participant,참가자,noun
1110,forest,숲,noun
1111,video,동영상,noun
1113,Senate,상원,noun
1114,reform,개정,noun
1115,access,입장,noun
1116,restaurant,레스토랑,noun
1117,judge,판사,noun
1120,relation,관계,noun
1124,bird,새,noun
1125,opinion,의견,noun
1126,credit,신용 거래,noun
1128,corner,모서리,noun
1131,version,버전,noun
1133,safety,안전,noun
1135,neighborhood,이웃,noun
1137,act,행동,noun
1138,troop,군대,noun
1139,income,소득,noun
1142,species,종,noun
1144,track,길,noun
1147,hope,희망,noun
1148,sky,하늘,noun
1149,freedom,자유,noun
1151,plane,비행기,noun
1154,object,물체,noun
1155,attitude,태도,noun
1156,labor,노동,noun
1158,concept,개념,noun
1159,client,고객,noun
1166,conversation,대화,noun
1173,variety,다양성,noun
1175,turn,회전하다,noun
1177,investigation,조사,noun
1179,researcher,연구원,noun
1180,press,누르다,noun
1181,conflict,갈등,noun
1182,spirit,영혼,noun
1187,argument,논쟁,noun
1190,camp,캠프,noun
1191,brain,뇌,noun
1192,feature,특징,noun
1193,afternoon,오후,noun
1195,weekend,주말,noun
1197,possibility,가능성,noun
1199,insurance,보험,noun
1200,department,학과,noun
1201,battle,전투,noun
1202,beginning,시작,noun
1203,date,데이트,noun
1208,crisis,위기,noun
1210,fan,팬,noun
1215,hole,구멍,noun
1216,element,요소,noun
1217,vision,전망,noun
1218,status,상태,noun
1221,ship,배,noun
1222,solution,해결책,noun
1223,stone,결석,noun
1225,scale,규모,noun
1227,university,대학교,noun
1229,driver,운전사,noun
1230,attempt,시도,noun
1231,park,공원,noun
1232,spot,점,noun
1233,lack,부족,noun
1234,ice,빙,noun
1235,boat,보트,noun
1237,sun,태양,noun
1239,distance,거리,noun
1240,wood,목재,noun
1242,truck,트럭,noun
1243,return,반품,noun
1244,mountain,산,noun
1245,survey,조사,noun
1247,tradition,전통,noun
1248,winter,겨울,noun
1249,village,마을,noun
1252,sales,매상,noun
1254,communication,의사소통,noun
1255,run,운영,noun
1256,screen,화면,noun
1258,resident,거주자,noun
1260,gold,금,noun
1261,club,클럽,noun
1263,farm,농장,noun
1265,increase,증가하다,noun
1266,middle,가운데,noun
1268,presence,있음,noun
1270,district,구역,noun
1271,shape,모양,noun
1272,reader,리더,noun
1273,Ms,MS,noun
1274,contract,계약,noun
1275,crowd,군중,noun
1278,apartment,아파트,noun
1280,strength,힘,noun
1282,band,밴드,noun
1284,horse,말,noun
1286,target,표적,noun
1287,prison,감옥,noun
1289,guard,경비원,noun
1291,demand,수요,noun
1292,reporter,보고자,noun
1294,text,텍스트,noun
1295,share,공유하다,noun
1296,tool,도구,noun
1298,vehicle,차량,noun
1300,flight,비행,noun
1302,facility,시설,noun
1303,understanding,이해,noun
1306,advantage,이점,noun
1309,leadership,지도,noun
1311,pound,파운드,noun
1312,basis,기초,noun
1315,guest,손님,noun
1316,sample,견본,noun
1319,block,차단하다,noun
1320,protection,보호,noun
1325,while,동안,noun
1327,identity,신원,noun
1328,title,제목,noun
1330,lesson,수업,noun
1331,faith,믿음,noun
1332,river,강,noun
1334,living,생활,noun
1340,technique,기술,noun
1341,path,길,noun
1342,ear,귀,noun
1343,shop,가게,noun
1344,folk,사람들,noun
1346,principle,원칙,noun
1349,border,국경,noun
1350,competition,경쟁,noun
1355,claim,주장하다,noun
1357,equipment,장비,noun
1360,critic,비평가,noun
1362,aspect,측면,noun
1365,failure,실패,noun
1368,Christmas,크리스마스,noun
1369,comment,논평,noun
1371,affair,일,noun
1374,procedure,절차,noun
1377,chairman,의장,noun
1378,baseball,야구,noun
1381,egg,계란,noun
1383,belief,믿음,noun
1386,murder,살인,noun
1387,gift,선물,noun
1388,religion,종교,noun
1389,review,검토,noun
1390,editor,편집자,noun
1393,coffee,커피,noun
1394,document,문서,noun
1395,speed,속도,noun
1397,influence,영향,noun
1402,youth,청소년,noun
1403,wave,파도,noun
1404,move,이동하다,noun
1406,quarter,4분의 1,noun
1407,background,배경,noun
1414,reaction,반응,noun
1416,suit,정장,noun
1417,perspective,관점,noun
1420,construction,건설,noun
1422,intelligence,지능,noun
1425,connection,연결,noun
1428,shoe,구두,noun
1430,grade,등급,noun
1431,context,문맥,noun
1432,committee,위원회,noun
1434,mistake,실수,noun
1435,focus,집중하다,noun
1436,smile,웃다,noun
1437,location,위치,noun
1438,clothes,옷,noun
1444,neighbor,이웃,noun
1446,drive,운전하다,noun
1447,function,기능,noun
1448,bone,뼈,noun
1452,average,평균,noun
1454,wine,와인,noun
1457,voter,유권자,noun
1458,mean,평균,noun
1460,learning,학습,noun
1461,bus,버스,noun
1462,hell,지옥,noun
1467,category,범주,noun
1469,victory,승리,noun
1470,key,열쇠,noun
1472,visit,방문,noun
1473,Internet,인터넷,noun
1479,medicine,약,noun
1480,tour,관광,noun
1482,photo,사진,noun
1483,finding,발견,noun
1486,classroom,교실,noun
1487,contact,연락하다,noun
1488,justice,정당성,noun
1492,pair,쌍,noun
1494,exercise,연습,noun
1495,knee,무릎,noun
1496,flower,꽃,noun
1497,tape,줄자,noun
1501,supply,공급,noun
1503,cut,자르다,noun
1504,will,~ 할 것이다,noun
1505,actor,배우,noun
1506,birth,출생,noun
1507,search,검색,noun
1509,democracy,민주주의,noun
1513,circle,원,noun
1514,device,장치,noun
1515,progress,진전,noun
1517,front,앞쪽,noun
1518,bottom,맨 아래,noun
1519,island,섬,noun
1520,exchange,교환,noun
1522,studio,사진관,noun
1524,lady,숙녀,noun
1525,colleague,동료,noun
1526,application,신청,noun
1527,neck,목,noun
1529,damage,손상,noun
1530,plastic,플라스틱,noun
1532,plate,그릇,noun
1535,writing,글쓰기,noun
1538,start,시작,noun
1540,expression,표현,noun
1541,football,축구,noun
1544,chicken,닭,noun
1545,army,군대,noun
1546,abuse,남용,noun
1547,theater,극장,noun
1549,map,지도,noun
1551,session,세션,noun
1552,danger,위험,noun
1556,literature,문학,noun
1557,rain,비,noun
1558,desire,욕구,noun
1559,assessment,평가,noun
1560,injury,부상,noun
1561,respect,존경,noun
1565,fuel,연료,noun
1566,leaf,잎,noun
1570,instruction,지침,noun
1571,fight,싸움,noun
1572,pool,수영장,noun
1575,lead,선두,noun
1576,engine,엔진,noun
1578,salt,소금,noun
1580,importance,중요성,noun
1581,metal,금속,noun
1582,fat,지방,noun
1583,ticket,티켓,noun
1584,software,소프트웨어,noun
1588,lip,말뿐인,noun
1589,reading,독서,noun
1593,lunch,점심,noun
1596,farmer,농장주,noun
1598,sugar,설탕,noun
1599,planet,행성,noun
1603,enemy,적,noun
1607,athlete,운동 선수,noun
1611,soul,영혼,noun
1614,panel,패널,noun
1615,meaning,의미,noun
1616,mom,엄마,noun
1619,instrument,기구,noun
1621,weather,날씨,noun
1624,commitment,약속,noun
1627,pocket,포켓,noun
1629,temperature,온도,noun
1630,surprise,놀라다,noun
1631,poll,투표,noun
1632,proposal,제안,noun
1633,consequence,결과,noun
1634,half,반,noun
1635,breath,호흡,noun
1636,sight,시력,noun
1637,cover,씌우다,noun
1638,balance,균형,noun
1640,minority,소수,noun
1644,works,공장,noun
1645,teaching,가르치는,noun
1647,aid,지원,noun
1648,advice,조언,noun
1650,photograph,사진,noun
1653,trail,자취,noun
1654,novel,소설,noun
1655,code,암호,noun
1658,jury,배심,noun
1659,breast,가슴,noun
1661,human,인간,noun
1663,theme,주제,noun
1664,storm,폭풍,noun
1665,union,노동 조합,noun
1667,desk,책상,noun
1669,thanks,감사해요,noun
1670,fruit,과일,noun
1674,conclusion,결론,noun
1676,shadow,그림자,noun
1679,analyst,분석자,noun
1680,dance,춤,noun
1681,limit,한계,noun
1683,regulation,규제,noun
1684,being,존재,noun
1686,ring,반지,noun
1689,revenue,수익,noun
1692,county,군,noun
1693,appearance,모습,noun
1694,package,패키지,noun
1695,difficulty,어려움,noun
1696,bridge,다리,noun
1699,train,기차,noun
1701,e-mail,이메일,noun
1705,thinking,생각,noun
1707,trend,경향,noun
1708,visitor,방문객,noun
1709,loan,대출,noun
1712,investor,투자자,noun
1714,profit,이익,noun
1716,crew,승무원,noun
1718,accident,사고,noun
1719,male,남성,noun
1720,meal,식사,noun
1721,hearing,듣기,noun
1722,traffic,교통,noun
1723,muscle,근육,noun
1724,notion,개념,noun
1728,earth,지구,noun
1730,chest,가슴,noun
1733,cash,현금,noun
1734,museum,박물관,noun
1735,beauty,아름다움,noun
1736,emergency,비상,noun
1742,stress,스트레스,noun
1743,content,콘텐츠,noun
1745,root,뿌리,noun
1746,nose,코,noun
1751,bottle,병,noun
1753,setting,환경,noun
1755,dress,드레스,noun
1756,file,파일,noun
1758,outcome,결과,noun
1759,ad,기원 후,noun
1763,duty,의무,noun
1764,sheet,시트,noun
1769,extent,정도,noun
1770,component,요소,noun
1774,contrast,차이,noun
1775,zone,존,noun
1778,airport,공항,noun
1779,chief,셰프,noun
1782,shirt,셔츠,noun
1783,pilot,조종사,noun
1786,cat,고양이,noun
1787,contribution,기부금,noun
1788,capacity,용량,noun
1790,estate,사유지,noun
1791,guide,가이드,noun
1792,circumstance,상황,noun
1793,snow,눈,noun
1795,politician,정치가,noun
1799,percentage,백분율,noun
1800,meat,고기,noun
1803,soil,토양,noun
1805,surgery,수술,noun
1811,basketball,농구,noun
1813,golf,골프,noun
1817,chain,체인,noun
1818,address,주소,noun
1819,branch,나뭇가지,noun
1820,combination,콤비네이션,noun
1823,governor,지사,noun
1824,relief,안도,noun
1825,user,사용자,noun
1826,dad,아빠,noun
1829,manner,방법,noun
1831,silence,고요,noun
1832,rating,평가,noun
1834,motion,운동,noun
1836,gender,성별,noun
1838,fee,회비,noun
1839,landscape,풍경,noun
1841,bowl,그릇,noun
1846,frame,액자,noun
1851,host,주최자,noun
1852,hall,홀,noun
1854,ocean,대양,noun
1856,row,열,noun
1857,producer,생산자,noun
1860,regime,정권,noun
1861,division,분할,noun
1864,appeal,항소,noun
1865,mirror,거울,noun
1866,tooth,이빨,noun
1868,length,길이,noun
1871,topic,주제,noun
1874,variable,변하기 쉬운,noun
1877,telephone,전화,noun
1878,perception,지각,noun
1880,confidence,신뢰,noun
1881,bedroom,침실,noun
1882,secret,비밀,noun
1883,debt,빚,noun
1886,tank,탱크,noun
1887,nurse,간호사,noun
1888,coverage,적용 범위,noun
1889,opposition,반대,noun
1892,bond,노예,noun
1894,pleasure,기쁨,noun
1895,master,주인,noun
1896,era,연대,noun
1897,requirement,요구 사항,noun
1898,check,확인하다,noun
1899,stand,서다,noun
1900,fun,재미있는,noun
1901,expectation,기대,noun
1902,wing,날개,noun
1906,struggle,고심하다,noun
1911,judgment,심판,noun
1914,beer,맥주,noun
1915,English,영어,noun
1916,reference,참조,noun
1917,tear,눈물,noun
1918,doubt,의심,noun
1922,minister,장관,noun
1924,hero,영웅,noun
1926,cloud,구름,noun
1928,winner,우승자,noun
1929,volume,용량,noun
1930,travel,여행하다,noun
1931,seed,씨앗,noun
1934,fashion,패션,noun
1935,pepper,후추,noun
1938,intervention,간섭,noun
1939,copy,복사,noun
1940,tip,팁,noun
1945,welfare,복지,noun
1946,vegetable,채소,noun
1948,dish,접시,noun
1949,beach,해변,noun
1950,improvement,개선,noun
1952,opening,열리는,noun
1959,route,노선,noun
1963,league,리그,noun
1966,core,핵심,noun
1972,rise,증가,noun
1973,tie,묶다,noun
1975,holiday,휴일,noun
1978,resolution,해결,noun
1979,household,가정,noun
1981,abortion,낙태,noun
1983,witness,증인,noun
1986,sector,부문,noun
1987,representative,대표,noun
1991,black,검은색,noun
1992,incident,사건,noun
1995,flow,흐름,noun
1996,faculty,학부,noun
1998,waste,쓰레기,noun
2000,mass,대량의,noun
2002,experiment,실험,noun
2004,bomb,폭탄,noun
2006,tone,음정,noun
2009,engineer,엔지니어,noun
2010,wheel,바퀴,noun
2011,female,여자,noun
2014,promise,약속하다,noun
2015,cable,케이블,noun
2019,AIDS,보조기구,noun
2020,Jew,유태인,noun
2022,cream,크림,noun
2023,secretary,비서,noun
2024,gate,문,noun
2026,hill,언덕,noun
2028,noise,소음,noun
2029,grass,잔디,noun
2031,hat,모자,noun
2032,legislation,법률 제정,noun
2036,achievement,성취,noun
2037,fishing,어업,noun
2038,drink,마시다,noun
2045,talent,재능,noun
2046,taste,맛,noun
2047,characteristic,특성,noun
2048,milk,우유,noun
2051,sentence,문장,noun
2055,height,키,noun
2056,physician,내과 의사,noun
2058,sleep,잠,noun
2060,ride,타다,noun
2069,explanation,설명,noun
2072,campus,교정,noun
2082,potential,잠재적인,noun
2083,immigrant,이민,noun
2087,alternative,대안,noun
2088,interaction,상호 작용,noun
2089,column,열,noun
2090,personality,인격,noun
2091,signal,신호,noun
2092,curriculum,과정,noun
2094,honor,명예,noun
2095,passenger,승객,noun
2096,assistance,보조,noun
2101,association,협회,noun
2106,lab,랩,noun
2107,offer,권하다,noun
2109,criticism,비판,noun
2110,asset,유산,noun
2111,depression,우울증,noun
2114,journalist,기자,noun
2115,prayer,기도,noun
2117,scholar,학자,noun
2118,warning,경고,noun
2119,climate,기후,noun
2120,cheese,치즈,noun
2121,observation,관찰,noun
2122,childhood,어린 시절,noun
2123,payment,지불,noun
2124,sir,선생님,noun
2126,cigarette,담배,noun
2127,definition,정의,noun
2128,priority,우선 순위,noun
2129,bread,빵,noun
2130,creation,창조,noun
2131,graduate,졸업하다,noun
2132,request,요구,noun
2133,emotion,감정,noun
2136,universe,우주,noun
2137,gap,갭,noun
2140,prosecutor,수행자,noun
2141,mark,표시,noun
2142,green,초록,noun
2145,airline,공기 호스,noun
2146,library,도서관,noun
2147,agenda,안건,noun
2149,factory,공장,noun
2150,selection,선택,noun
2152,roof,지붕,noun
2154,expense,비용,noun
2155,initiative,계획,noun
2156,diet,다이어트,noun
2158,funding,자금,noun
2159,therapy,요법,noun
2161,schedule,일정,noun
2164,housing,주택,noun
2165,post,게시하다,noun
2168,dark,어두운,noun
2169,steel,강철,noun
2175,chip,칩,noun
2179,self,본인,noun
2180,bike,자전거,noun
2181,tea,차,noun
2183,comparison,비교,noun
2184,settlement,합의,noun
2185,layer,층,noun
2186,planning,계획,noun
2188,description,설명,noun
2193,wedding,혼례,noun
2195,portion,부분,noun
2196,territory,영토,noun
2198,opponent,상대,noun
2200,link,링크,noun
2202,lake,호수,noun
2204,tension,긴장,noun
2205,display,표시하다,noun
2209,alcohol,술,noun
2212,saving,절약,noun
2213,gain,얻다,noun
2214,desert,사막,noun
2216,error,오류,noun
2217,release,풀어 주다,noun
2218,cop,순경,noun
2221,walk,걷다,noun
2222,sand,모래,noun
2225,hit,때리다,noun
2226,print,인쇄,noun
2228,passage,통로,noun
2230,transition,이행,noun
2231,existence,존재,noun
2232,album,앨범,noun
2233,participation,참여,noun
2235,atmosphere,대기,noun
2238,cycle,주기,noun
2241,whole,전부의,noun
2244,resistance,저항,noun
2245,discovery,발견,noun
2247,exposure,노출,noun
2249,stream,개울,noun
2250,sale,판매,noun
2251,trust,신뢰하다,noun
2253,pot,냄비,noun
2257,coalition,연합,noun
2258,tale,이야기,noun
2259,knife,칼,noun
2262,phase,단계,noun
2263,present,현재,noun
2264,joke,농담,noun
2265,coat,코트,noun
2267,symptom,징후,noun
2269,manufacturer,제조업체,noun
2270,philosophy,철학,noun
2271,potato,감자,noun
2273,foundation,기초,noun
2276,pass,통과하다,noun
2277,negotiation,협상,noun
2278,good,좋은,noun
2280,occasion,기회,noun
2281,dust,먼지,noun
2284,investigator,조사자,noun
2285,jacket,재킷,noun
2288,reduction,절감,noun
2290,shift,옮기다,noun
2292,suicide,자살,noun
2294,touch,접촉,noun
2295,substance,물질,noun
2296,discipline,규율,noun
2298,iron,철,noun
2301,passion,열정,noun
2302,volunteer,자원 봉사자,noun
2305,gene,유전자,noun
2306,enforcement,시행,noun
2308,sauce,소스,noun
2309,independence,독립,noun
2310,marketing,마케팅,noun
2311,priest,성직자,noun
2314,advance,전진,noun
2315,employer,고용주,noun
2316,shock,충격,noun
2323,illness,질병,noun
2324,cap,캡,noun
2325,habit,습관,noun
2327,juice,주스,noun
2329,involvement,참여,noun
2338,Indian,인도 사람,noun
2339,disaster,재해,noun
2340,parking,주차,noun
2341,prospect,전망,noun
2342,boss,사장,noun
2343,complaint,불평,noun
2344,championship,선수권 대회,noun
2350,mystery,신비,noun
2352,poverty,빈곤,noun
2354,entry,기입,noun
2356,spending,지출,noun
2357,king,왕,noun
2359,symbol,상징,noun
2362,maker,만드는 사람,noun
2363,mood,분위기,noun
2365,emphasis,중요성,noun
2367,boot,신병,noun
2370,entertainment,오락,noun
2371,bean,콩,noun
2372,evaluation,평가,noun
2373,creature,생물,noun
2374,commander,사령관,noun
2376,arrangement,준비,noun
2378,total,총,noun
2380,anger,화,noun
2383,peak,정점,noun
2386,disorder,무질서,noun
2387,missile,미사일,noun
2390,wire,철사,noun
2391,round,둥근,noun
2392,distribution,분포,noun
2393,transportation,교통,noun
2396,twin,쌍,noun
2397,command,명령,noun
2398,commission,수수료,noun
2399,interpretation,해석,noun
2400,breakfast,아침밥,noun
2401,stop,멈추다,noun
2403,engineering,공학,noun
2404,luck,운,noun
2408,clinic,진료소,noun
2409,veteran,재향 군인,noun
2411,tablespoon,큰 스푼,noun
2414,tourist,관광객,noun
2420,tomato,토마토,noun
2421,exception,예외,noun
2422,butter,버터,noun
2423,deficit,적자,noun
2424,bathroom,화장실,noun
2425,objective,목적,noun
2428,ally,동맹국,noun
